question_set_edition	tournament	room	round	packet	tossup	answer	words	category	subcategory	subsubcategory	team	player	buzz_value	buzz_location	buzz_location_pct	bounceback	answer_given	protested
2018-01-20	Toronto	2	1	B	13	velocity	141	Science	Chemistry		Carleton	Ian Dewan	10	97	0.688			
2018-01-20	Toronto	2	1	B	15	Samuel Beckett	148	Literature	Drama		Carleton	Cameron Amini	10	115	0.777			
2018-01-20	Toronto	2	1	B	19	tombs	142	Arts	Painting/Sculpture		Carleton	Ian Dewan	10	98	0.69			
2018-01-20	Toronto	2	1	B	20	mass	138	Science	Physics		Carleton	Ian Dewan	10	102	0.739			
2018-01-20	Toronto	2	1	B	1	Vitamin D	126	Science	Biology		Toronto A	Raymond Chen	10	108	0.857			
2018-01-20	Toronto	2	1	B	3	Boreas	137	RMPSS	Mythology		Toronto A	Zhenglin Liu	10	37	0.27			
2018-01-20	Toronto	2	1	B	5	flutes	123	Arts	Other Art	Other Music	Toronto A	Zhenglin Liu	10	86	0.699			
2018-01-20	Toronto	2	1	B	6	Frederick the Great	143	History	Continental European History (post-600 CE)		Toronto A	Ben Hillier-Weltman	10	113	0.79			
2018-01-20	Toronto	2	1	B	7	Posner	146	RMPSS	Social Science		Toronto A	Ben Hillier-Weltman	10	141	0.966			
2018-01-20	Toronto	2	1	B	11	al-Ghazali	140	RMPSS	Philosophy		Toronto A	Zhenglin Liu	-5	133	0.95			
2018-01-20	Toronto	2	1	B	14	the creation of the world	148	Arts	Music		Toronto A	Zhenglin Liu	10	105	0.709			
2018-01-20	Toronto	2	1	B	16	Victor Hugo	146	Literature	Non-Epic Poetry		Toronto A	Zhenglin Liu	10	99	0.678			
2018-01-20	Toronto	2	1	B	17	Fiji	116	History	Other History		Toronto A	Paul Kasinski	10	94	0.81			
2018-01-20	Toronto	2	1	B	18	Kabbalah	137	RMPSS	Religion		Toronto A	Ben Hillier-Weltman	10	77	0.562			
2018-01-20	Toronto	2	2	C	1	Peter the Great	146	History	Continental European History (post-600 CE)		Queen's	Jack	10	58	0.397			
2018-01-20	Toronto	2	2	C	2	Thales of Miletus	152	RMPSS	Philosophy		Queen's	Brendan Lam	10	145	0.954	bounceback		
2018-01-20	Toronto	2	2	C	5	radial	143	Science	Physics		Queen's	Dennis	0	143	1.0	bounceback		
2018-01-20	Toronto	2	2	C	6	neoconservatism	124	History	US History		Queen's	Dennis	10	72	0.581			
2018-01-20	Toronto	2	2	C	9	Darwinian evolution	135	RMPSS	Religion		Queen's	Dennis	10	122	0.904			
2018-01-20	Toronto	2	2	C	10	Jacksonville Jaguars	142	Other	Trash		Queen's	Dennis	10	53	0.373			
